Season,Day,Hour,Count
2012,Fri,1:00,254
2012,Fri,2:00,185
2012,Fri,3:00,78
2012,Fri,4:00,80
2012,Fri,5:00,236
2012,Fri,6:00,719
2012,Fri,7:00,1983
2012,Fri,8:00,2430
2012,Fri,9:00,1709
2012,Fri,10:00,1820
2012,Fri,11:00,2402
2012,Fri,12:00,3019
2012,Fri,13:00,2940
2012,Fri,14:00,2698
2012,Fri,15:00,2827
2012,Fri,16:00,3628
2012,Fri,17:00,3655
2012,Fri,18:00,2785
2012,Fri,19:00,2115
2012,Fri,20:00,1756
2012,Fri,21:00,1543
2012,Fri,22:00,1444
2012,Fri,23:00,911
2012,Sat,0:00,677
2012,Sat,1:00,494
2012,Sat,2:00,507
2012,Sat,3:00,181
2012,Sat,4:00,83
2012,Sat,5:00,108
2012,Sat,6:00,251
2012,Sat,7:00,511
2012,Sat,8:00,973
2012,Sat,9:00,1715
2012,Sat,10:00,2492
2012,Sat,11:00,3255
2012,Sat,12:00,3688
2012,Sat,13:00,3736
2012,Sat,14:00,3697
2012,Sat,15:00,3930
2012,Sat,16:00,3622
2012,Sat,17:00,3470
2012,Sat,18:00,3111
2012,Sat,19:00,2470
2012,Sat,20:00,2014
2012,Sat,21:00,1953
2012,Sat,22:00,1783
2012,Sat,23:00,1379
2012,Sun,0:00,1077
2012,Sun,1:00,841
2012,Sun,2:00,847
2012,Sun,3:00,301
2012,Sun,4:00,138
2012,Sun,5:00,127
2012,Sun,6:00,219
2012,Sun,7:00,400
2012,Sun,8:00,801
2012,Sun,9:00,1419
2012,Sun,10:00,2225
2012,Sun,11:00,2912
2012,Sun,12:00,3242
2012,Sun,13:00,3282
2012,Sun,14:00,3233
2012,Sun,15:00,3351
2012,Sun,16:00,3346
2012,Sun,17:00,2862
2012,Sun,18:00,2483
2012,Sun,19:00,2007
2012,Sun,20:00,1415
2012,Sun,21:00,940
2012,Sun,22:00,673
2012,Sun,23:00,432
2013,Mon,0:00,319
2013,Mon,1:00,214
2013,Mon,2:00,152
2013,Mon,3:00,27
2013,Mon,4:00,96
2013,Mon,5:00,215
2013,Mon,6:00,675
2013,Mon,7:00,2125
2013,Mon,8:00,2446
2013,Mon,9:00,1605
2013,Mon,10:00,1628
2013,Mon,11:00,2280
2013,Mon,12:00,2838
2013,Mon,13:00,2349
2013,Mon,14:00,2279
2013,Mon,15:00,2493
2013,Mon,16:00,3546
2013,Mon,17:00,4592
2013,Mon,18:00,3381
2013,Mon,19:00,2588
2013,Mon,20:00,1933
2013,Mon,21:00,1305
2013,Mon,22:00,808
2013,Mon,23:00,447
2013,Tue,0:00,237
2013,Tue,1:00,162
2013,Tue,2:00,110
2013,Tue,3:00,39
2013,Tue,4:00,78
2013,Tue,5:00,224
2013,Tue,6:00,838
2013,Tue,7:00,2417
2013,Tue,8:00,2475
2013,Tue,9:00,1532
2013,Tue,10:00,1492
2013,Tue,11:00,1944
2013,Tue,12:00,2363
2013,Tue,13:00,2297
2013,Tue,14:00,2255
2013,Tue,15:00,2436
2013,Tue,16:00,3655
2013,Tue,17:00,4634
2013,Tue,18:00,3723
2013,Tue,19:00,2614
2013,Tue,20:00,1949
2013,Tue,21:00,1440
2013,Tue,22:00,1015
2013,Tue,23:00,583
2013,Wed,0:00,301
2013,Wed,1:00,168
2013,Wed,2:00,111
2013,Wed,3:00,64
2013,Wed,4:00,87
2013,Wed,5:00,254
2013,Wed,6:00,727
2013,Wed,7:00,2292
2013,Wed,8:00,2635
2013,Wed,9:00,1577
2013,Wed,10:00,1389
2013,Wed,11:00,2057
2013,Wed,12:00,2465
2013,Wed,13:00,2230
2013,Wed,14:00,2030
2013,Wed,15:00,2310
2013,Wed,16:00,3565
2013,Wed,17:00,4519
2013,Wed,18:00,3708
